"EV:AC_DAUNT" , "*$char* attrape *$char* dans un coin et se mets à lui hurler dessus..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Veuillez vous référer à la dernière page du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Veuillez vous référer à la page 101 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Veuillez vous référer à la page 1337 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Veuillez vous référer à la page 201 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Veuillez vous référer à la page 310 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Veuillez vous référer à la page 314156 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Veuillez vous référer à la page 404 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "La $equipment sent le cramé. Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. La solution n'arrivera pas toute seule."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Veuillez vous référer à la page 1337 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Veuillez vous référer à la page 201 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Veuillez vous référer à la page 310 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Veuillez vous référer à la page 314156 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "La $item est toujours cassée. Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. La solution n'arrivera pas toute seule."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Veuillez vous référer à la page 101 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Veuillez vous référer à la page 310 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Veuillez vous référer à la page 314156 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "La $item sent le cramé. Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment : $equipment est toujours cassé. Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment : $equipment est toujours cassé. Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment : $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment : $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment : $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Essayez de prendre le problème sous un autre angle..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. La solution n'arrivera pas toute seule."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Peut-être que les $equipments sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Veuillez vous référer à la dernière page du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Veuillez vous référer à la page 101 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Veuillez vous référer à la page 1337 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Veuillez vous référer à la page 201 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Veuillez vous référer à la page 310 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Veuillez vous référer à la page 314156 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Veuillez vous référer à la page 404 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Vous devriez vous asseoir et prendre une petite ration."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment est toujours cassé. Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Essayez de prendre le problème sous un autre angle..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. La solution n'arrivera pas toute seule."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être que les $equipments sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Veuillez vous référer à la dernière page du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Veuillez vous référer à la page 101 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Veuillez vous référer à la page 1337 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Veuillez vous référer à la page 201 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Veuillez vous référer à la page 310 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Veuillez vous référer à la page 314156 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Veuillez vous référer à la page 404 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous devriez vous asseoir et prendre une petite ration."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "Le $equipment n'a pas l'air de mieux se porter et dégage une odeur de cramé. Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Essayez de prendre le problème sous un autre angle..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. La solution n'arrivera pas toute seule."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Peut-être que les $items sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Veuillez vous référer à la page 101 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Veuillez vous référer à la page 1337 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Veuillez vous référer à la page 310 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Veuillez vous référer à la page 314156 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Vous devriez vous asseoir et prendre une petite ration."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item est toujours cassé. Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "Le $item n'a pas l'air de mieux se porter et dégage une odeur de cramé. Essayez de prendre le problème sous un autre angle..."
